Strain,Strain_rate,Stress,Temperature
137.332,0.01,0.35289,1273.15
138.158,0.01,0.355,1273.15
137.37,0.01,0.35693,1273.15
137.62,0.01,0.35904,1273.15
136.422,0.01,0.36086,1273.15
137.204,0.01,0.36299,1273.15
136.536,0.01,0.36484,1273.15
138.048,0.01,0.36705,1273.15
136.738,0.01,0.36895,1273.15
136.852,0.01,0.37097,1273.15
136.796,0.01,0.37298,1273.15
136.89,0.01,0.37497,1273.15
136.246,0.01,0.37691,1273.15
136.816,0.01,0.37899,1273.15
136.322,0.01,0.38104,1273.15
134.976,0.01,0.38292,1273.15
136.33,0.01,0.38492,1273.15
136.11,0.01,0.38698,1273.15
135.458,0.01,0.38878,1273.15
136.708,0.01,0.39096,1273.15
135.87,0.01,0.39289,1273.15
134.956,0.01,0.39515,1273.15
135.846,0.01,0.39712,1273.15
135.75,0.01,0.39908,1273.15
135.436,0.01,0.40099,1273.15
134.798,0.01,0.40281,1273.15
135.748,0.01,0.40521,1273.15
135.238,0.01,0.40717,1273.15
135.016,0.01,0.40898,1273.15
135.858,0.01,0.41123,1273.15
134.704,0.01,0.4131,1273.15
133.98,0.01,0.41502,1273.15
134.612,0.01,0.41703,1273.15
134.23,0.01,0.419,1273.15
134.146,0.01,0.42101,1273.15
134.45,0.01,0.42307,1273.15
134.208,0.01,0.42519,1273.15
133.98,0.01,0.42678,1273.15
133.784,0.01,0.42882,1273.15
134.006,0.01,0.43102,1273.15
133.368,0.01,0.433,1273.15
133.952,0.01,0.43521,1273.15
133.356,0.01,0.43724,1273.15
132.77,0.01,0.43874,1273.15
132.416,0.01,0.44123,1273.15
132.652,0.01,0.44281,1273.15
133.024,0.01,0.44485,1273.15
132.724,0.01,0.44694,1273.15
132.424,0.01,0.44904,1273.15
131.65,0.01,0.45102,1273.15
131.26,0.01,0.45302,1273.15
132.022,0.01,0.45492,1273.15
131.738,0.01,0.45706,1273.15
131.042,0.01,0.45898,1273.15
132.24,0.01,0.46118,1273.15
131.686,0.01,0.46318,1273.15
131.216,0.01,0.46518,1273.15
130.732,0.01,0.46718,1273.15
130.748,0.01,0.46916,1273.15
130.458,0.01,0.47118,1273.15
131.11,0.01,0.47327,1273.15
130.566,0.01,0.47476,1273.15
129.942,0.01,0.47719,1273.15
130.006,0.01,0.4792,1273.15
130.016,0.01,0.48126,1273.15
129.784,0.01,0.48327,1273.15
129.632,0.01,0.48519,1273.15
129.616,0.01,0.48724,1273.15
129.128,0.01,0.48915,1273.15
129.498,0.01,0.4908,1273.15
129.182,0.01,0.49278,1273.15
128.444,0.01,0.49525,1273.15
128.04,0.01,0.49709,1273.15
129.392,0.01,0.49916,1273.15
129.516,0.01,0.50076,1273.15
128.71,0.01,0.50276,1273.15
