,Strain,Strain_rate,Stress,Temperature,A_opt,alpha_opt,n_opt,Q_act_opt,sigma_pred,error,ln_A,Q_RT,ln_Strain_rate,abs_error
0,0.1269,0.01,132.55,1273.15,1.5733524215445766e+19,0.0339645294365926,5.370205548782843,652229.6985311004,136.02838713748488,-3.478387137484873,44.20232541008028,61.618479219849625,-4.605170185988091,3.478387137484873
1,0.12897,0.01,133.394,1273.15,1.5733524215445766e+19,0.0339645294365926,5.370205548782843,652229.6985311004,136.02838713748488,-2.634387137484879,44.20232541008028,61.618479219849625,-4.605170185988091,2.634387137484879
2,0.131,0.01,133.758,1273.15,1.5733524215445766e+19,0.0339645294365926,5.370205548782843,652229.6985311004,136.02838713748488,-2.2703871374848745,44.20232541008028,61.618479219849625,-4.605170185988091,2.2703871374848745
3,0.13308,0.01,133.908,1273.15,1.5733524215445766e+19,0.0339645294365926,5.370205548782843,652229.6985311004,136.02838713748488,-2.1203871374848973,44.20232541008028,61.618479219849625,-4.605170185988091,2.1203871374848973
4,0.13503,0.01,133.3,1273.15,1.5733524215445766e+19,0.0339645294365926,5.370205548782843,652229.6985311004,136.02838713748488,-2.728387137484873,44.20232541008028,61.618479219849625,-4.605170185988091,2.728387137484873
5,0.13702,0.01,133.45,1273.15,1.5733524215445766e+19,0.0339645294365926,5.370205548782843,652229.6985311004,136.02838713748488,-2.578387137484896,44.20232541008028,61.618479219849625,-4.605170185988091,2.578387137484896
6,0.13905,0.01,134.78,1273.15,1.5733524215445766e+19,0.0339645294365926,5.370205548782843,652229.6985311004,136.02838713748488,-1.2483871374848832,44.20232541008028,61.618479219849625,-4.605170185988091,1.2483871374848832
7,0.1411,0.01,134.93,1273.15,1.5733524215445766e+19,0.0339645294365926,5.370205548782843,652229.6985311004,136.02838713748488,-1.0983871374848777,44.20232541008028,61.618479219849625,-4.605170185988091,1.0983871374848777
8,0.1431,0.01,134.72,1273.15,1.5733524215445766e+19,0.0339645294365926,5.370205548782843,652229.6985311004,136.02838713748488,-1.3083871374848854,44.20232541008028,61.618479219849625,-4.605170185988091,1.3083871374848854
9,0.14507,0.01,134.876,1273.15,1.5733524215445766e+19,0.0339645294365926,5.370205548782843,652229.6985311004,136.02838713748488,-1.1523871374848795,44.20232541008028,61.618479219849625,-4.605170185988091,1.1523871374848795
10,0.147,0.01,135.348,1273.15,1.5733524215445766e+19,0.0339645294365926,5.370205548782843,652229.6985311004,136.02838713748488,-0.6803871374848711,44.20232541008028,61.618479219849625,-4.605170185988091,0.6803871374848711
11,0.14912,0.01,136.028,1273.15,1.5733524215445766e+19,0.0339645294365926,5.370205548782843,652229.6985311004,136.02837500388503,-0.0003750038850398,44.20232541008028,61.618479219849625,-4.605170185988091,0.0003750038850398
12,0.15111,0.01,135.548,1273.15,1.5733524215445766e+19,0.0339645294365926,5.370205548782843,652229.6985311004,136.02838713748488,-0.4803871374848825,44.20232541008028,61.618479219849625,-4.605170185988091,0.4803871374848825
13,0.15306,0.01,135.324,1273.15,1.5733524215445766e+19,0.0339645294365926,5.370205548782843,652229.6985311004,136.02838713748488,-0.704387137484872,44.20232541008028,61.618479219849625,-4.605170185988091,0.704387137484872
14,0.1551,0.01,136.13,1273.15,1.5733524215445766e+19,0.0339645294365926,5.370205548782843,652229.6985311004,136.02838713748488,0.1016128625151111,44.20232541008028,61.618479219849625,-4.605170185988091,0.1016128625151111
15,0.157,0.01,135.3,1273.15,1.5733524215445766e+19,0.0339645294365926,5.370205548782843,652229.6985311004,136.02838713748488,-0.7283871374848729,44.20232541008028,61.618479219849625,-4.605170185988091,0.7283871374848729
16,0.1591,0.01,137.156,1273.15,1.5733524215445766e+19,0.0339645294365926,5.370205548782843,652229.6985311004,136.02838713748488,1.1276128625151216,44.20232541008028,61.618479219849625,-4.605170185988091,1.1276128625151216
17,0.16102,0.01,136.534,1273.15,1.5733524215445766e+19,0.0339645294365926,5.370205548782843,652229.6985311004,136.02838713748488,0.5056128625151075,44.20232541008028,61.618479219849625,-4.605170185988091,0.5056128625151075
18,0.16314,0.01,137.4,1273.15,1.5733524215445766e+19,0.0339645294365926,5.370205548782843,652229.6985311004,136.02838713748488,1.3716128625151214,44.20232541008028,61.618479219849625,-4.605170185988091,1.3716128625151214
19,0.16511,0.01,136.484,1273.15,1.5733524215445766e+19,0.0339645294365926,5.370205548782843,652229.6985311004,136.02838713748488,0.4556128625151245,44.20232541008028,61.618479219849625,-4.605170185988091,0.4556128625151245
20,0.16705,0.01,136.552,1273.15,1.5733524215445766e+19,0.0339645294365926,5.370205548782843,652229.6985311004,136.02838713748488,0.5236128625151082,44.20232541008028,61.618479219849625,-4.605170185988091,0.5236128625151082
21,0.16907,0.01,137.176,1273.15,1.5733524215445766e+19,0.0339645294365926,5.370205548782843,652229.6985311004,136.02838713748488,1.1476128625151034,44.20232541008028,61.618479219849625,-4.605170185988091,1.1476128625151034
22,0.17108,0.01,137.044,1273.15,1.5733524215445766e+19,0.0339645294365926,5.370205548782843,652229.6985311004,136.02838713748488,1.0156128625151268,44.20232541008028,61.618479219849625,-4.605170185988091,1.0156128625151268
23,0.173,0.01,137.438,1273.15,1.5733524215445766e+19,0.0339645294365926,5.370205548782843,652229.6985311004,136.02838713748488,1.409612862515104,44.20232541008028,61.618479219849625,-4.605170185988091,1.409612862515104
24,0.17513,0.01,138.064,1273.15,1.5733524215445766e+19,0.0339645294365926,5.370205548782843,652229.6985311004,136.02838713748488,2.0356128625151086,44.20232541008028,61.618479219849625,-4.605170185988091,2.0356128625151086
25,0.17705,0.01,137.092,1273.15,1.5733524215445766e+19,0.0339645294365926,5.370205548782843,652229.6985311004,136.02838713748488,1.0636128625151289,44.20232541008028,61.618479219849625,-4.605170185988091,1.0636128625151289
26,0.17914,0.01,138.338,1273.15,1.5733524215445766e+19,0.0339645294365926,5.370205548782843,652229.6985311004,136.02838713748488,2.3096128625151096,44.20232541008028,61.618479219849625,-4.605170185988091,2.3096128625151096
27,0.18106,0.01,137.57,1273.15,1.5733524215445766e+19,0.0339645294365926,5.370205548782843,652229.6985311004,136.02838713748488,1.5416128625151089,44.20232541008028,61.618479219849625,-4.605170185988091,1.5416128625151089
28,0.18298,0.01,137.304,1273.15,1.5733524215445766e+19,0.0339645294365926,5.370205548782843,652229.6985311004,136.02838713748488,1.2756128625151175,44.20232541008028,61.618479219849625,-4.605170185988091,1.2756128625151175
29,0.18498,0.01,137.668,1273.15,1.5733524215445766e+19,0.0339645294365926,5.370205548782843,652229.6985311004,136.02838713748488,1.639612862515122,44.20232541008028,61.618479219849625,-4.605170185988091,1.639612862515122
30,0.18711,0.01,139.384,1273.15,1.5733524215445766e+19,0.0339645294365926,5.370205548782843,652229.6985311004,136.02838713748488,3.355612862515102,44.20232541008028,61.618479219849625,-4.605170185988091,3.355612862515102
31,0.18919,0.01,138.36,1273.15,1.5733524215445766e+19,0.0339645294365926,5.370205548782843,652229.6985311004,136.02838713748488,2.3316128625151293,44.20232541008028,61.618479219849625,-4.605170185988091,2.3316128625151293
32,0.19109,0.01,137.442,1273.15,2.235117860574549e+20,0.0176136114874509,14.516523272603546,615070.2139816227,139.56612537173697,-2.124125371736966,46.85599582059388,58.10788942044457,-4.605170185988091,2.124125371736966
33,0.19305,0.01,137.88,1273.15,2.235117860574549e+20,0.0176136114874509,14.516523272603546,615070.2139816227,139.56612537173697,-1.6861253717369775,46.85599582059388,58.10788942044457,-4.605170185988091,1.6861253717369775
34,0.19507,0.01,138.978,1273.15,2.235117860574549e+20,0.0176136114874509,14.516523272603546,615070.2139816227,139.56612537173697,-0.5881253717369646,46.85599582059388,58.10788942044457,-4.605170185988091,0.5881253717369646
