Strain,Strain_rate,Stress,Temperature
0.57676,0.5,275.478,1273.15
0.1708,1.0,166.418,1423.15
0.78303,0.01,58.8842,1423.15
0.83107,1.0,425.646,1073.15
0.83277,0.01,248.47,1173.15
0.4369,0.01,334.278,1123.15
0.53114,0.5,481.642,1123.15
0.75698,0.5,227.27,1323.15
0.67708,0.5,250.854,1293.15
0.23517,1.0,170.118,1423.15
0.60507,0.1,240.986,1223.15
0.22713,0.5,337.646,1223.15
0.41096,0.01,84.9282,1373.15
0.22715,0.5,563.406,1123.15
0.28909,0.01,378.61,1123.15
0.5074,0.1,147.464,1323.15
0.65702,0.1,463.92,1123.15
0.22688,0.5,293.75,1273.15
0.8551,0.5,281.366,1273.15
0.84075,0.01,251.646,1123.15
0.83692,0.5,325.482,1223.15
0.79509,0.5,274.964,1273.15
0.21123,0.5,566.716,1123.15
0.78719,0.5,373.988,1173.15
0.24081,0.1,256.652,1223.15
0.25495,0.5,339.962,1223.15
0.34675,1.0,463.014,1173.15
0.58489,0.01,123.508,1273.15
0.23893,0.5,560.996,1123.15
0.42702,1.0,346.444,1223.15
0.71503,0.01,90.0724,1323.15
0.38863,0.1,122.812,1423.15
0.27305,1.0,172.448,1423.15
0.54851,0.5,199.752,1373.15
0.67086,0.01,158.68,1223.15
0.74495,1.0,267.262,1273.15
0.44084,0.5,167.352,1423.15
0.90309,0.1,428.426,1123.15
0.79687,0.01,70.4106,1373.15
0.66512,0.1,462.41,1123.15
0.19309,0.01,108.682,1323.15
0.15084,0.5,572.972,1123.15
0.58675,1.0,237.786,1323.15
0.67515,0.1,138.292,1323.15
0.16919,0.01,418.186,1123.15
0.31853,0.1,566.264,1123.15
0.25923,1.0,239.31,1323.15
0.50889,0.5,333.92,1223.15
0.69917,0.01,117.422,1273.15
0.20714,0.01,404.912,1123.15
0.63489,0.01,94.5454,1323.15
0.88867,0.5,372.18,1173.15
0.14917,0.5,336.642,1223.15
0.51111,0.01,100.9034,1323.15
0.34288,0.1,557.444,1123.15
0.18281,0.5,216.89,1323.15
0.74862,0.5,227.744,1323.15
0.42284,0.01,292.5,1173.15
0.3431,0.5,532.494,1123.15
0.79104,1.0,265.26,1273.15
0.64511,1.0,446.57,1073.15
0.30678,1.0,208.126,1373.15
0.38124,0.5,425.206,1173.15
0.90295,0.01,85.5892,1323.15
0.72317,0.1,109.69,1423.15
0.74682,0.01,253.592,1173.15
0.57689,1.0,414.096,1173.15
0.23294,0.1,416.698,1173.15
0.53478,0.01,78.93,1373.15
0.62287,1.0,204.22,1373.15
0.62902,0.5,165.688,1423.15
0.48485,0.01,102.086,1323.15
0.2569,0.5,160.34,1423.15
0.747,0.01,265.638,1123.15
0.58888,0.5,198.154,1373.15
0.25905,0.5,294.698,1273.15
0.27685,0.01,74.3506,1423.15
0.42703,0.01,105.066,1323.15
0.2028,0.5,294.354,1273.15
0.89255,0.5,371.624,1173.15
0.84922,0.01,58.8334,1423.15
0.28727,0.1,255.27,1223.15
0.63883,0.5,464.192,1123.15
0.45679,1.0,175.438,1423.15
0.34125,1.0,173.81,1423.15
0.83302,0.5,160.05,1423.15
0.577,1.0,237.492,1323.15
0.48272,0.5,282.09,1273.15
0.62311,0.01,61.9318,1423.15
0.39872,1.0,210.754,1373.15
0.31706,0.1,175.372,1273.15
0.30953,0.1,571.436,1123.15
0.87534,0.1,132.56,1323.15
0.25113,1.0,284.126,1273.15
0.68514,0.01,91.8532,1323.15
0.32465,0.1,255.984,1223.15
0.83098,0.5,374.436,1173.15
0.47711,0.1,509.252,1123.15
0.69305,0.01,157.38,1223.15
0.32895,0.5,340.168,1223.15
0.33127,1.0,242.436,1323.15
0.6451,0.01,93.5498,1323.15
0.47071,1.0,509.574,1073.15
0.20077,0.5,186.526,1373.15
0.45491,0.5,500.816,1123.15
0.70487,1.0,200.73,1373.15
0.73503,0.5,195.988,1373.15
0.20724,0.01,94.2134,1373.15
0.68501,0.1,236.588,1223.15
0.42297,1.0,448.59,1173.15
0.5372,1.0,240.648,1323.15
0.66288,0.5,196.654,1373.15
0.33896,0.01,305.136,1173.15
0.63917,1.0,401.886,1173.15
0.66904,0.5,327.328,1223.15
0.4851,0.5,281.848,1273.15
0.75686,1.0,168.35,1423.15
0.35915,0.5,264.856,1293.15
0.3145,0.1,569.944,1123.15
0.42337,0.1,371.272,1173.15
0.70094,0.1,110.142,1423.15
0.81277,0.1,439.544,1123.15
0.35085,0.01,70.5666,1423.15
0.56494,0.5,394.018,1173.15
0.6671,0.01,259.28,1173.15
0.15476,1.0,199.512,1373.15
0.6612,0.01,93.5574,1323.15
0.72367,0.5,229.17,1323.15
0.59095,0.5,469.306,1123.15
0.35516,0.5,339.144,1223.15
0.46325,1.0,284.916,1273.15
0.65087,0.5,165.104,1423.15
0.36673,0.01,69.724,1423.15
0.63884,0.01,161.356,1223.15
0.22105,0.5,219.882,1323.15
0.63085,0.01,262.17,1173.15
0.34118,0.01,71.0978,1423.15
0.22923,0.1,255.678,1223.15
0.29893,0.01,71.9664,1423.15
0.91101,0.01,243.882,1173.15
0.41313,0.1,150.108,1323.15
0.49704,1.0,241.912,1323.15
0.62106,0.1,160.486,1273.15
0.14883,0.1,163.624,1273.15
0.68505,0.01,274.416,1123.15
0.39707,0.1,535.19,1123.15
0.54682,0.1,488.182,1123.15
0.71712,0.01,59.8614,1423.15
0.20116,0.1,417.274,1173.15
0.60091,0.5,252.464,1293.15
0.65897,1.0,203.538,1373.15
0.63479,1.0,203.728,1373.15
0.47902,0.5,336.784,1223.15
0.70309,0.5,458.174,1123.15
0.53695,0.01,100.1174,1323.15
0.75278,0.01,71.348,1373.15
0.61289,0.1,237.882,1223.15
0.50528,0.5,404.436,1173.15
0.90087,0.01,68.7728,1373.15
0.51478,1.0,174.2,1423.15
0.80319,0.5,374.162,1173.15
0.8711,0.01,112.924,1273.15
0.15106,0.01,323.008,1173.15
0.34882,0.1,152.78,1323.15
0.17106,0.1,121.924,1423.15
0.64921,0.1,112.226,1423.15
0.15714,0.5,572.544,1123.15
0.25319,1.0,284.212,1273.15
0.36921,1.0,286.152,1273.15
0.51928,1.0,209.318,1373.15
0.32905,1.0,172.872,1423.15
0.53088,0.01,99.7788,1323.15
0.22479,0.5,220.802,1323.15
0.28714,1.0,240.442,1323.15
0.63104,1.0,203.87,1373.15
0.17316,0.1,252.374,1223.15
0.77498,0.5,274.172,1273.15
0.68899,0.5,326.448,1223.15
0.18693,0.1,170.242,1273.15
0.59494,1.0,172.112,1423.15
0.38886,1.0,243.238,1323.15
0.58878,0.01,267.796,1173.15
0.75902,0.1,150.028,1273.15
0.17118,0.1,167.736,1273.15
0.71316,0.1,454.09,1123.15
0.53113,1.0,424.246,1173.15
0.73888,0.01,116.262,1273.15
0.69295,0.5,162.846,1423.15
0.66704,0.5,250.288,1293.15
0.14497,0.01,189.586,1223.15
0.5689,0.5,231.908,1323.15
0.81891,0.1,235.558,1223.15
0.82346,0.1,145.796,1273.15
0.26075,1.0,239.258,1323.15
0.80708,0.5,326.394,1223.15
